Term (EN),Description (EN),Rmk,JP Glossary,KR Glossary,Category,Feature,Marketing Reference,Changed,Changes,Status,
Upload,Uploading 360° images from smartphone to the cloud server.,,アップロード,업로드,Beamo App,Capture,,,,✅ Confirmed,
360˚ Video Survey,A survey capture method using 360˚ video. Optimized for speed. Mobile only.,,360˚ ビデオサーベイ,360˚ 비디오 서베이,Beamo App,Video Survey,,7 May 2026,v3.0.0. Mobile only.,✅ Confirmed,
Field Camera,A mobile-first capture tool. Photos/videos/audio auto-sync to BeamoBox.,,フィールドカメラ,필드 카메라,Beamo App,Field Camera,,7 May 2026,v3.0.0. Mobile only.,✅ Confirmed,
  ▌ Field Camera —   🆕 v3.0.0,,,,,,,,,,,
Session (Field Camera),A focused capture window tied to a specific site. All captures go to the same destination until you finish or discard.,,セッション（フィールドカメラ）,세션 (필드 카메라),Beamo App,Field Camera,,14 May 2026,🆕 v3.0.0 — ⚠️ different from Meet's Session,✅ Confirmed,
Quick Note,A short description attached to a capture right after it's taken — typed or recorded by voice.,,クイックノート,퀵 노트,Beamo App,Field Camera,,14 May 2026,🆕 v3.0.0,✅ Confirmed,
Sticky Category,A category set once that automatically applies to every capture in the Field Camera session as set.,"*following category feature capability, admins(who can add) can add category during sticky category usage, but who don't have add permission can only set sticky category to use",スティッキーカテゴリー,고정 카테고리,Beamo App,Field Camera,,14 May 2026,🆕 v3.0.0,✅ Confirmed,
Photo Tray,A review screen showing all captured files before upload. You can deselect any you don't want to keep.,"*this screen can be set to open mandatorily when field camera session is done, in field camera settings. users who want to control which data to upload strictly can use this feature",フォトトレイ,사진 트레이,Beamo App,Field Camera,,14 May 2026,🆕 v3.0.0,✅ Confirmed,
Stamp,"Creator name, GPS coordinates, and timestamp stamped directly onto a photo at capture time. Cannot be removed after capture.",,スタンプ,스탬프 ,Beamo App,Field Camera,,14 May 2026,🆕 v3.0.0 ,✅ Confirmed,
Field Capture button,Global (Bottom) navigation bar button — quickest access to Field Camera from anywhere in the app.,,フィールド（現場）カメラキャプチャボタン,필드 카메라 캡처 버튼,Beamo App,Field Camera,,14 May 2026,🆕 v3.0.0,✅ Confirmed,
Site card ,Site item displayed as card format in new home design.,,サイトカード,사이트 카드 ,Beamo App,Field Camera,,14 May 2026,🆕 v3.0.0,✅ Confirmed,
Finish (Field Camera),Ends the Field Camera session and uploads all selected files to BeamoBox.,,完了（フィールドカメラ）,완료 (필드 카메라),Beamo App,Field Camera,,14 May 2026,🆕 v3.0.0,✅ Confirmed,
Discard,Ends the session and permanently deletes all captured files — nothing is uploaded.,,破棄,삭제,Beamo App,Field Camera,,14 May 2026,🆕 v3.0.0,✅ Confirmed,
Voice (Field Camera),A capture type in Field Camera — record a voice note without a visual.,,ボイス（フィールドカメラ）,음성 (필드 카메라),Beamo App,Field Camera,,14 May 2026,🆕 v3.0.0,✅ Confirmed,
Photo (Field Camera),A capture type — tap the shutter for a single still shot.,,フォト（フィールドカメラ）,사진 (필드 카메라),Beamo App,Field Camera,,14 May 2026,🆕 v3.0.0,✅ Confirmed,
Video (Field Camera),A capture type — start and stop recording a video.,,ビデオ（フィールドカメラ）,비디오 (필드 카메라),Beamo App,Field Camera,,14 May 2026,🆕 v3.0.0,✅ Confirmed,
Open camera when app launches,Setting: Field Camera opens automatically when you launch the app.,,アプリ起動時にカメラを開く,앱 실행 시 카메라 열기,Beamo App,Field Camera,,14 May 2026,🆕 v3.0.0,✅ Confirmed,
Show photo tray when finishing session,"Setting: When you tap Finish, the photo tray opens to review files before uploading.",,セッション終了時にフォトトレイを表示,세션 종료 시 사진 트레이 표시,Beamo App,Field Camera,,14 May 2026,🆕 v3.0.0,✅ Confirmed,
Save images to device,Setting: Also saves captured photos and videos to the phone's default gallery.,,デバイスに画像を保存,기기에 이미지 저장,Beamo App,Field Camera,,14 May 2026,🆕 v3.0.0,✅ Confirmed,
Front / Back camera,Toggle between front and rear camera in Field Camera.,,フロント / バックカメラ,전면 / 후면 카메라,Beamo App,Field Camera,,14 May 2026,🆕 v3.0.0,✅ Confirmed,
Flash,Flash control (On/Off) in Field Camera.,,フラッシュ,플래시,Beamo App,Field Camera,,14 May 2026,🆕 v3.0.0,✅ Confirmed,
Zoom Selector (Field Camera),"UI that displays current zoom level while providing quick zoom level set with preset three options, (.5x, 1x, 3x).
*minimum zoom level might depend on mobile device camera spec",,ズームセレクター（フィールドカメラ）,줌 셀렉터 (필드 카메라),Beamo App,Field Camera,,14 May 2026,🆕 v3.0.0,✅ Confirmed,
Aspect ratio,"Choose 1:1, 3:4, 9:16, or Full in Field Camera.",,アスペクト比,화면 비율,Beamo App,Field Camera,,14 May 2026,🆕 v3.0.0,✅ Confirmed,
Tag (App),,,タグ,태그,,,,,,,
Title (App),A box to input the title of a tag.,,タイトル,제목,Beamo App,Tag,,,,✅ Confirmed,
Description box (App),A box to input description for a tag.,,詳細ボックス,상세 설명란,Beamo App,Tag,,,,✅ Confirmed,
Folder Selector,A button to select the folder in a tag.,,フォルダセレクター,폴더 선택창 ,Beamo App,Tag,,,,✅ Confirmed,
Media (App),"A button to record video, take photo, import from gallery.",,メディア,미디어,Beamo App,Tag,,,,✅ Confirmed,
Side panel (App),"A UI for switching spaces, backup data, support center, or log out.",,サイドパネル,사이드패널,Beamo App,Settings,,,,✅ Confirmed,
Settings (App),Button to enter the side panel or access capture settings.,,設定,설정,Beamo App,Settings,,,,✅ Confirmed,
General Setting,,,,,,,,,,,
Setting (capture setting),A setting process before the capture.,,キャプチャ設定,프리셋(App),Beamo App,Settings,,,,✅ Confirmed,
Back Up Data,Button in the side panel to access backup data.,,データバックアップ,데이터 백업,Beamo App,Settings,,,,✅ Confirmed,
Log Out (App),Button to log out from the currnetly signed in account.,,ログアウト,로그아웃 ,Beamo App,Settings,,,,,
Support Center (App),Button to access Beamo Support Center.,,サポートセンター,서포트 센터 ,Beamo App,Settings,,,,✅ Confirmed,
Tutorial,Button to view the tutorial.,,チュートリアル,튜토리얼,Beamo App,Settings,,,,✅ Confirmed,
Privacy Policy,Button to view the Privacy Policy.,,プライバシーポリシー,개인정보 보호 정책,Beamo App,Settings,,,,✅ Confirmed,
Legal,A section title in the side panel for Privacy Policy and Version history.,,利用規約,법률 정보,Beamo App,Settings,,,,✅ Confirmed,
Version,Button to check the version history.,,バージョン,버전,Beamo App,Settings,,,,✅ Confirmed,
Permission (App),App permission settings.,,権限,권한,Beamo App,Settings,,,,✅ Confirmed,
Tooltips,A button to show the tooltips.,,ツールチップ,툴팁,Beamo App,Settings,,,,✅ Confirmed,
Preset,Capture setting / preset.,,プリセット,프리셋,Beamo App,Settings,,,,✅ Confirmed,
360 camera,360 camera used to capture with Beamo App.,,360 カメラ,360 카메라,Beamo App,Settings,,,,✅ Confirmed,
  ▌ BeamoBox  🆕 v3.0.0,,,,,,,,,,,
BeamoBox,A drive-like file storage space built into each site for easy on-field data upload and management.,,Beamo ボックス,Beamo 박스,BeamoBox,Core,,,🆕 v3.0.0 ,✅ Confirmed,
Site Detail,"UI screen showing site's detail information such as plan list, canvas view, beamobox list, after users select site item.",,サイト詳細,사이트 상세,BeamoBox,Core,,,🆕 v3.0.0,✅ Confirmed,
BeamoBox Panel,A side panel inside 3D Workspace for accessing BeamoBox files.,,Beamo ボックスパネル,Beamo 박스 패널,BeamoBox,Core,,,🆕 v3.0.0,✅ Confirmed,
Detail View,"A popup showing a file's preview, description, dates, creator, and location.",,詳細ビュー,상세 보기,,Beamo Box,Core,,🆕 v3.0.0,✅ Confirmed,
Live Share (BeamoBox),"A BeamoBox share link that always shows the site's full, up-to-date file list.",,ライブシェア（Beamo ボックス）,라이브 공유 (Beamo 박스),BeamoBox,Share,,,🆕 v3.0.0 — ⚠️ different from Meet's Live Share,✅ Confirmed,
Selective Share,A BeamoBox share link that includes only files selected at time of sharing.,,選択共有,선택 공유,BeamoBox,Share,,,🆕 v3.0.0,✅ Confirmed,
  ▌ Checklist  🆕 v3.0.0,,,,,,,,,,,
Checklist,A workflow management tool for codifying and standardizing field operations.,,チェックリスト,체크리스트,Checklist,Core,,,🆕 v3.0.0,✅ Confirmed,
Checklist Item,An individual task or action step within a Checklist.,,チェックリストアイテム,체크리스트 항목,Checklist,Core,,,🆕 v3.0.0,✅ Confirmed,
  ▌ Space Management  ,,,,,,,,,,,
Space Management,,,スペースマネージメント,스페이스 관리,Space Management,Settings,,,,✅ Confirmed,
Preference,Space look & feel customization feature for 3D Workspace and IoT Settings under space management.  ,,プリファレンス,설정,Space Management,Customization,Look & Feel Customization,,,✅ Confirmed,
Filter (Space),Filter setting UI for refine search; manage label categories.,,フィルター,필터,Space Management,Settings,,,,✅ Confirmed,
By Label,Label filter setting UI where users can create/delete/edit labels.,,カスタムラベル,사용자 라벨,Space Management,Settings,,,,✅ Confirmed,
By Location,Location filter setting UI where users can rename or disable/enable location levels.,,地理ラベル,지리 라벨,Space Management,Settings,,,,✅ Confirmed,
Label Category (Space),A group of labels can be created from Team Profile and Filter Setting.,,ラベルカテゴリー,라벨 항목,Space Management,Settings,,,,✅ Confirmed,
License Details,Dashboard to see the license in details.,,ライセンス詳細,라이선스 상세 사항,Space Management,License,,,,✅ Confirmed,
Encryption,Data encryption applied to all Beamo data at rest and in transit.,,暗号化,암호화,Space Management,Security,,,🆕 Pricing page — Enterprise only,✅ Confirmed,
Two-factor authentication,,,二段階認証,2단계 인증,Space Management,Security,2FA,,🆕 Pricing page — Enterprise only,✅ Confirmed,
SSO,Single Sign-On via SAML 2.0 standard.,,SSO シングルサインオン,싱글 사인온(SSO),Space Management,Security,,,Enterprise only,✅ Confirmed,
VPC,Virtual Private Cloud deployment option for enterprise customers.,,VPC,VPC,Space Management,Security,,,🆕 Pricing page — Enterprise add-on,✅ Confirmed,
Grafana Integration,Integration connecting Beamo to Grafana for real-time IoT data in 3D Workspace.,,Grafana インテグレーション,Grafana 연동,Space Management,Integration,,,🆕 Pricing page — Enterprise only,✅ Confirmed,
  ▌ Hardware,,,,,,,,,,,
Beamo Hard Hat,Our original survey kit specially made for the Beamo App for 360 Video Capture.,,Beamo ヘルメット,Beamo 헬멧,Hardware,,,,,,
Beamo Starter Kit,Our original survey kit specially made for the Beamo App.,,Beamoスターターキット,Beamo 스타터 키트,Hardware,,,,,✅ Confirmed,
360 Mount,Holder for the 360 camera.,,360マウント,360 마운트,Hardware,,,,,✅ Confirmed,
Tripod,A tripod specially made for Beamo App.,,三脚,삼각대,Hardware,,,,,✅ Confirmed,
Smart Holder,holder + quick release (head+plate+button) + clamp + long thumb screw.,,スマートホルダー,스마트 홀더,Hardware,,,,,✅ Confirmed,
Remote (Hardware),BLE remote controller for capturing.,,リモコン,리모컨,Hardware,,,,,✅ Confirmed,
Thumb wheel,The thumb screw of 360 Mount to fix the 360 camera.,,サムホイール,수조정 바퀴,Hardware,,,,,✅ Confirmed,
Locking lever,On the Smart Holder.,,固定レバー,고정레버,Hardware,,,,,✅ Confirmed,
Quick release button,On the Smart Holder.,,クイックリリースボタン,퀵 릴리즈 버튼,Hardware,,,,,✅ Confirmed,
Holder,A part of the Smart Holder that holds the smartphone/battery.,,マウント,마운트,Hardware,,,,,✅ Confirmed,
clamp,A part of the Smart Holder that mounts to Tripod.,,クランプ,클램프,Hardware,,,,,✅ Confirmed,
quick release,Plate + head + button.,,クイックリリース,퀵 릴리즈,Hardware,,,,,✅ Confirmed,
quick release head,Quick release female part.,,クイックリリースヘッド,퀵 릴리즈 헤드,Hardware,,,,,✅ Confirmed,
quick release plate,Quick release male part.,,クイックリリースプレート,퀵 릴리즈 판,Hardware,,,,,✅ Confirmed,
Height adjustment flip-lock,Beamo Starter Kit Manual.,,高さ調整用フリップロック,높이 조절 플립락,Hardware,,,,,✅ Confirmed,
Leg adjustment locks,Beamo Starter Kit Manual.,,脚調整ロック,다리 조절 락,Hardware,,,,,✅ Confirmed,
Alignment guide,Beamo Starter Kit Manual.,,アラインメントガイド,정렬 가이드,Hardware,,,,,✅ Confirmed,
Non-slip rubber,Beamo Starter Kit Manual.,,滑り止めゴム,미끄럼 방지 고무,Hardware,,,,,✅ Confirmed,
Long thumb screw,Beamo Starter Kit Manual.,,サムスクリュー,썸 스크류,Hardware,,,,,✅ Confirmed,
quick release lock,Beamo Starter Kit Manual.,,クイックリリースロック,퀵 릴리즈 잠금,Hardware,,,,,✅ Confirmed,
360° camera insert slot,Beamo Starter Kit Manual.,,360°カメラ挿入口,360° 카메라 삽입구,Hardware,,,,,✅ Confirmed,
USB-C port,Beamo Starter Kit Manual.,,USB-Cポート,USB-C 포트,Hardware,,,,,✅ Confirmed,
USB connector,Beamo Starter Kit Manual.,,USBコネクタ,USB 커넥터,Hardware,,,,,✅ Confirmed,
Action button,Beamo Starter Kit Manual.,,アクションボタン,액션 버튼,Hardware,,,,,✅ Confirmed,
LED status indicator,Beamo Starter Kit Manual.,,LEDステータスインジケーター,LED 상태 표시등,Hardware,,,,,✅ Confirmed,
Key leash,Beamo Starter Kit Manual.,,キーリング,키 체인,Hardware,,,,,✅ Confirmed,
  ▌ Auto Tagging —   🆕 v3.0.0,,,,,,,,,,,
VPS Auto Tagging ,Vision Positioning System Auto tagging ,,VPS 自動タギング,VPS 자동 태깅 ,Auto Tagging ,,,,,🔍 Needs Review,
Path Auto Tagging ,Auto positioning of image files along the points. ,,経路自動タギング,경로 자동 태깅 ,Auto Tagging ,,,,,🔍 Needs Review,
Auto Tagging available ,The UI appears when the image files are uploaded and 3D view becomes available.,,自動タギング可能,자동 태깅 가능 ,Auto Tagging ,,,,,🔍 Needs Review,
Run Now ,The button appears on the Beamo Box tab in the 3D workspace when Auto Tagging becomes available. ,,実行する,지금 실행 ,Auto Tagging ,,,,,🔍 Needs Review,
Trigger ,State of activating the tagging system ,,トリガー,트리거 ,Auto Tagging ,,,,,🔍 Needs Review,I
  ▌ 360° Video Capture —   🆕 v3.0.0,,,,,,,,,,,
Session,A focused capture window tied to a specific site,,セッション,세션,App,,,,,,
Path,Series of points recorded and generated after the survey. ,,経路,경로,App,,,,,🔍 Needs Review,
Processing,"Cloud-side conversion of raw 360° video into a digital twin (path, points, floor-plan alignment)",,処理中,처리중,App,,,,,🔍 Needs Review,
360° Video Session,"A continuous walk-through recorded with a 360° camera, linked to a Site/Survey",,３６０°ビデオセッション,360 비디오 세션 ,App,,,,,🔍 Needs Review,
Drag to Tag,Dragging a photo directly from BeamoBox onto the 3D map to instantly add it as a tag at that location.,,ドラッグタギング,드래그 태깅,BeamoBox,Tag,,,🆕 v3.0.0,✅ Confirmed,
